epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,52.606,0.90859,1.59274,4.19386,0.01481,5.1757,0.0208,0.67857,0.13584,0.0702,0.01646,0.58571,0.11638,0.05213,1.29132,4.27933,4.75914,0.04088,0,0.000198182,0.000198182,0.08038
2,93.8048,0.86642,0.95112,2.02456,0.01429,3.10606,0.6304,0.62787,0.65457,0.43889,0.63443,0.64804,0.66131,0.57098,1.21337,1.13656,2.59559,0.03843,0,0.000398114,0.000398114,0.0605799
3,134.595,0.86774,0.9518,1.75784,0.01486,2.62176,0.71128,0.77096,0.77746,0.53003,0.70692,0.76697,0.77427,0.71317,1.29049,1.03391,1.92788,0.04249,0,0.000597776,0.000597776,0.0407796
4,174.356,0.84461,0.93455,1.55206,0.01407,2.2728,0.6018,0.70016,0.68945,0.46881,0.57733,0.71641,0.6864,0.58936,1.18355,0.80479,1.89136,0.03823,0,0.000796964,0.000796964,0.0209788
5,215.238,0.76809,0.76615,1.40147,0.01295,2.07295,0.86007,0.81295,0.81115,0.61057,0.85634,0.80878,0.80725,0.76635,0.97357,0.62103,1.28458,0.02997,0,0.000995475,0.000995475,0.00117729
6,255.6,0.77389,0.77908,1.2983,0.01299,1.67171,0.66087,0.75523,0.72477,0.45534,0.6521,0.73988,0.72025,0.58995,1.40024,0.88588,1.53346,0.0449,0,0.000995765,0.000995765,0.000995765
7,295.717,0.77051,0.73596,1.30953,0.01308,1.66595,0.75809,0.83233,0.81513,0.56634,0.77171,0.85139,0.82456,0.74862,1.09668,0.7206,1.27454,0.03485,0,0.000993906,0.000993906,0.000993906
8,335.433,0.74379,0.74637,1.22196,0.01203,1.45013,0.75397,0.79586,0.82756,0.60615,0.75397,0.79586,0.82478,0.77612,0.94415,0.65724,1.20424,0.02856,0,0.000991711,0.000991711,0.000991711
9,375.709,0.76123,0.75967,1.19813,0.01307,1.39559,0.7647,0.82974,0.81339,0.57961,0.7647,0.82974,0.81675,0.76227,1.00359,0.66626,1.06899,0.03151,0,0.000989183,0.000989183,0.000989183
10,415.452,0.71933,0.70406,1.11918,0.01197,1.33291,0.84185,0.84702,0.86275,0.6313,0.83797,0.84285,0.8576,0.81321,1.00238,0.65755,1.09094,0.0309,0,0.000986323,0.000986323,0.000986323
11,455.365,0.75576,0.7765,1.1749,0.01304,1.36052,0.83208,0.82303,0.84879,0.65325,0.82824,0.81894,0.84492,0.80141,0.81347,0.87919,0.99475,0.02501,0,0.000983133,0.000983133,0.000983133
12,495.87,0.71971,0.68132,1.11643,0.01194,1.26646,0.85415,0.86495,0.88293,0.66873,0.85415,0.86495,0.88301,0.82503,0.99772,0.69319,0.96099,0.03069,0,0.000979616,0.000979616,0.000979616
13,535.729,0.72502,0.72142,1.13631,0.01182,1.25499,0.84051,0.81283,0.84165,0.64084,0.83638,0.80867,0.83838,0.8001,1.01442,0.70925,1.1182,0.03148,0,0.000975773,0.000975773,0.000975773
14,575.791,0.69778,0.70149,1.08752,0.01166,1.19234,0.88074,0.82704,0.85458,0.66055,0.87695,0.82287,0.85138,0.80661,0.8608,0.66503,1.02684,0.0264,0,0.000971608,0.000971608,0.000971608
15,615.795,0.73413,0.61962,1.01209,0.01226,1.10072,0.87401,0.81222,0.87744,0.67089,0.8701,0.80816,0.87814,0.8313,0.90824,0.62566,0.91123,0.02756,0,0.000967122,0.000967122,0.000967122
16,655.867,0.67855,0.70025,1.02742,0.01166,1.12286,0.8656,0.80199,0.85826,0.65369,0.85961,0.79809,0.84764,0.77935,0.9238,0.89682,1.03245,0.02911,0,0.00096232,0.00096232,0.00096232
17,695.762,0.69498,0.65801,1.04087,0.01177,1.08209,0.8956,0.87414,0.883,0.7179,0.89172,0.86998,0.87832,0.83894,0.77037,0.5765,0.84203,0.02287,0,0.000957205,0.000957205,0.000957205
18,735.571,0.67743,0.65672,1.02439,0.01094,1.08417,0.88568,0.83481,0.86753,0.64516,0.88568,0.83481,0.86559,0.82798,1.08923,0.59718,0.86671,0.0348,0,0.00095178,0.00095178,0.00095178
19,776.12,0.71179,0.6243,1.04464,0.01172,1.05515,0.86726,0.86343,0.88515,0.68881,0.8622,0.86207,0.88037,0.85127,0.91279,0.55583,0.83991,0.02789,0,0.000946048,0.000946048,0.000946048
20,816.327,0.72117,0.59586,0.99491,0.01208,1.0302,0.85553,0.8478,0.85362,0.68775,0.85164,0.84371,0.84954,0.82523,0.98754,0.56828,0.8777,0.03039,0,0.000940014,0.000940014,0.000940014
21,855.771,0.69689,0.62481,0.98674,0.01125,1.00738,0.88998,0.83473,0.84727,0.67814,0.88608,0.83056,0.84103,0.80546,0.86268,0.59536,0.88175,0.02667,0,0.000933683,0.000933683,0.000933683
22,894.263,0.6673,0.59895,0.99838,0.01105,1.07101,0.88846,0.84205,0.8672,0.6882,0.88481,0.83789,0.86147,0.82189,0.79278,0.57201,0.86704,0.02393,0,0.000927057,0.000927057,0.000927057
23,933.338,0.68321,0.62904,1.04731,0.01098,1.12722,0.91839,0.85749,0.89023,0.71287,0.91438,0.85332,0.88525,0.85769,0.84357,0.62109,0.79272,0.02622,0,0.000920142,0.000920142,0.000920142
24,973.259,0.68551,0.59924,0.94608,0.0113,0.96152,0.88004,0.85864,0.88523,0.72918,0.87606,0.85448,0.88167,0.86327,0.74189,0.69578,0.78916,0.02203,0,0.000912942,0.000912942,0.000912942
25,1014.06,0.66683,0.62198,0.92908,0.01107,0.87149,0.82422,0.90585,0.88998,0.6562,0.82061,0.90168,0.8866,0.82858,0.95426,0.64958,0.87655,0.02965,0,0.000905463,0.000905463,0.000905463
26,1055.14,0.66785,0.58321,0.92321,0.01091,0.92838,0.86671,0.89894,0.9019,0.72029,0.86298,0.89478,0.89851,0.87108,0.81815,0.56218,0.83902,0.02424,0,0.00089771,0.00089771,0.00089771
27,1096.4,0.66535,0.65729,0.97497,0.01042,0.98641,0.8757,0.84712,0.86325,0.70644,0.87137,0.84296,0.85894,0.83167,0.86568,0.51878,0.80824,0.0264,0,0.000889687,0.000889687,0.000889687
28,1137.8,0.65435,0.56744,0.93519,0.01098,0.95797,0.86889,0.84008,0.85368,0.71145,0.86424,0.83591,0.84671,0.82321,0.78826,0.56507,0.76499,0.02339,0,0.000881401,0.000881401,0.000881401
29,1178.8,0.64172,0.62758,0.89631,0.00999,0.90995,0.88559,0.87977,0.90274,0.74932,0.88381,0.87639,0.89862,0.87267,0.75791,0.54163,0.79501,0.02214,0,0.000872857,0.000872857,0.000872857
