epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,157.758,1.01381,1.13389,3.81593,0.01959,3.21637,0.20447,0.34871,0.15672,0.0625,0.11601,0.1693,0.06047,0.01478,1.52639,12.9803,4.93892,0.05996,0,0.000199317,0.000199317,0.0802676
2,294.423,0.95301,0.84601,2.22683,0.0193,1.87669,0.50645,0.61309,0.51478,0.34834,0.49563,0.60343,0.50222,0.39459,1.19411,1.22558,2.85408,0.04286,0,0.00039925,0.00039925,0.0604675
3,433.69,0.91998,0.83898,1.97645,0.01777,1.45369,0.43851,0.68465,0.53751,0.34443,0.43513,0.68226,0.53499,0.46146,1.24747,0.73081,2.56856,0.04758,0,0.000598911,0.000598911,0.0406672
4,571.98,0.87678,0.77165,1.80951,0.01711,1.33161,0.585,0.67311,0.63025,0.45778,0.58455,0.67057,0.62731,0.57422,0.94815,0.76627,2.9378,0.03228,0,0.000798098,0.000798098,0.0208664
5,708.463,0.87067,0.70195,1.69073,0.01675,1.29168,0.4152,0.74618,0.60582,0.41028,0.41319,0.74194,0.6013,0.53036,1.22933,0.60724,3.30291,0.04319,0,0.000996608,0.000996608,0.00106487
6,844.217,0.86817,0.7019,1.65955,0.01671,1.26846,0.49655,0.72545,0.60429,0.41014,0.49463,0.7282,0.599,0.52262,1.25502,0.60121,3.57264,0.0456,0,0.000995765,0.000995765,0.000995765
7,980.737,0.81797,0.65105,1.58091,0.01552,1.20146,0.54014,0.67362,0.6121,0.41618,0.53804,0.67124,0.60843,0.52518,1.31226,0.5922,2.62006,0.04907,0,0.000993906,0.000993906,0.000993906
8,1116.8,0.78229,0.61752,1.46609,0.01484,1.15193,0.52779,0.71148,0.61222,0.43843,0.52579,0.7091,0.60931,0.53936,1.06471,0.58871,3.20531,0.0375,0,0.000991711,0.000991711,0.000991711
9,1255.02,0.77524,0.63922,1.48068,0.01468,1.16067,0.4896,0.68676,0.60121,0.45335,0.48861,0.68623,0.60011,0.54461,1.05838,0.54448,3.04096,0.03671,0,0.000989183,0.000989183,0.000989183
10,1392.67,0.75204,0.60596,1.42034,0.01431,1.11824,0.55978,0.74688,0.65334,0.49617,0.5577,0.7445,0.65074,0.59664,0.88758,0.55278,2.09948,0.02902,0,0.000986323,0.000986323,0.000986323
11,1527.11,0.74214,0.62398,1.38765,0.01444,1.09784,0.5461,0.78602,0.63086,0.45023,0.54715,0.78438,0.6251,0.56487,1.12152,0.58509,3.09762,0.03968,0,0.000983133,0.000983133,0.000983133
12,1663.35,0.7432,0.65656,1.41986,0.01407,1.11155,0.61895,0.74011,0.6456,0.50284,0.61359,0.73773,0.64158,0.59012,0.81366,0.63233,2.32406,0.02592,0,0.000979616,0.000979616,0.000979616
13,1802.51,0.69944,0.61188,1.36832,0.01267,1.06301,0.59746,0.6689,0.61323,0.48145,0.59509,0.66652,0.60744,0.56804,0.88724,0.56088,2.57193,0.02852,0,0.000975773,0.000975773,0.000975773
14,1941.89,0.69897,0.59769,1.3517,0.01276,1.04556,0.46949,0.69808,0.51686,0.4077,0.46949,0.69808,0.51451,0.48216,1.01038,0.5553,2.63771,0.03482,0,0.000971608,0.000971608,0.000971608
15,2085.59,0.70242,0.56778,1.34551,0.01283,1.01467,0.59255,0.74451,0.68921,0.53418,0.59353,0.74182,0.68575,0.6309,0.88718,0.49241,1.99607,0.02879,0,0.000967122,0.000967122,0.000967122
16,2234.67,0.69701,0.60271,1.31463,0.01246,0.94187,0.62598,0.59622,0.59889,0.48629,0.62359,0.59384,0.59509,0.55347,0.85166,0.5161,2.49337,0.02799,0,0.00096232,0.00096232,0.00096232
17,2376.41,0.65224,0.54501,1.2893,0.01178,0.96097,0.66302,0.7103,0.68789,0.53037,0.66085,0.70792,0.68463,0.62248,1.04261,0.50088,2.5596,0.0362,0,0.000957205,0.000957205,0.000957205
18,2514.42,0.66306,0.602,1.32011,0.01202,0.95689,0.57955,0.73278,0.64195,0.51504,0.58132,0.74005,0.65439,0.6026,0.84339,0.51345,2.68567,0.02819,0,0.00095178,0.00095178,0.00095178
19,2650.94,0.6574,0.54216,1.23506,0.01208,0.92823,0.67656,0.70609,0.70149,0.49766,0.65943,0.68714,0.67679,0.57986,1.11817,0.75531,2.59892,0.03963,0,0.000946048,0.000946048,0.000946048
20,2787.23,0.65996,0.5633,1.24089,0.01188,0.87743,0.783,0.64007,0.65985,0.51912,0.78419,0.64471,0.6592,0.59995,0.91382,0.49796,2.59406,0.03154,0,0.000940014,0.000940014,0.000940014
21,2923.44,0.64611,0.58316,1.22512,0.01157,0.90287,0.66771,0.72685,0.70669,0.58152,0.6644,0.72052,0.69892,0.66317,0.80881,0.47171,2.17542,0.027,0,0.000933683,0.000933683,0.000933683
22,3059.13,0.63909,0.55518,1.226,0.01173,0.9486,0.57943,0.7109,0.66356,0.52288,0.58808,0.72189,0.67289,0.61418,0.88854,0.51982,2.67841,0.03035,0,0.000927057,0.000927057,0.000927057
