epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,110.475,1.13357,1.02758,4.33739,0.02488,3.36156,0.21582,0.26789,0.1683,0.05519,0.21487,0.1395,0.10169,0.04385,1.53614,2.06408,5.30237,0.05984,0,0.00019878,0.00019878,0.0803207
2,195.483,1.13788,0.71521,2.30011,0.02511,2.90482,0.26981,0.50991,0.26069,0.14701,0.21141,0.46498,0.18303,0.12282,1.2851,0.79307,4.49147,0.04764,0,0.000398713,0.000398713,0.0605207
3,280.57,0.96928,0.56719,1.98746,0.02152,2.53561,0.23629,0.55207,0.27419,0.15583,0.23506,0.54832,0.27122,0.21142,1.11822,0.46178,3.42294,0.0417,0,0.000598374,0.000598374,0.0407203
4,366.643,0.94939,0.57744,1.92936,0.02135,2.55079,0.32713,0.56336,0.28326,0.17562,0.32854,0.5569,0.27328,0.22641,0.93251,0.42484,3.37522,0.03253,0,0.000797562,0.000797562,0.0209195
5,451.179,0.91018,0.48242,1.84073,0.01964,2.53314,0.27473,0.59216,0.32659,0.20795,0.27054,0.57917,0.31951,0.26372,0.91134,0.36879,5.20533,0.03077,0,0.000996072,0.000996072,0.00111802
6,536.977,0.8753,0.54687,1.77287,0.01864,2.39821,0.21379,0.51245,0.21319,0.13195,0.21379,0.51245,0.21209,0.17144,1.03286,0.35983,3.63072,0.03599,0,0.000995765,0.000995765,0.000995765
7,621.446,0.8204,0.47003,1.68269,0.0173,2.42124,0.22866,0.58446,0.29842,0.212,0.22737,0.59137,0.29306,0.25559,0.86762,0.41303,3.98734,0.02975,0,0.000993906,0.000993906,0.000993906
8,705.249,0.80003,0.47432,1.61976,0.01701,2.39913,0.28574,0.63724,0.33367,0.2082,0.29023,0.61178,0.32583,0.26243,1.01514,0.3808,3.3003,0.03533,0,0.000991711,0.000991711,0.000991711
9,790.175,0.77505,0.48041,1.59879,0.01674,2.4244,0.34587,0.53488,0.32989,0.22434,0.34587,0.53488,0.32329,0.29616,0.92049,0.36502,5.50765,0.03312,0,0.000989183,0.000989183,0.000989183
10,874.093,0.78011,0.54982,1.56865,0.01653,2.32073,0.30183,0.5648,0.32087,0.22725,0.29154,0.54749,0.30742,0.26223,0.93788,0.42823,3.20622,0.03255,0,0.000986323,0.000986323,0.000986323
11,958.5,0.74778,0.51311,1.53491,0.01549,2.31384,0.31224,0.56656,0.32667,0.24302,0.31224,0.56656,0.31628,0.28621,0.76246,0.36143,4.11583,0.02507,0,0.000983133,0.000983133,0.000983133
12,1041.57,0.74694,0.43297,1.47844,0.01537,2.31943,0.27051,0.6177,0.37875,0.25786,0.26138,0.60076,0.36402,0.3116,0.87197,0.37634,5.44423,0.02874,0,0.000979616,0.000979616,0.000979616
13,1124.86,0.69747,0.42933,1.48607,0.01464,2.36148,0.32402,0.57935,0.34147,0.25274,0.32402,0.57935,0.33549,0.30293,0.83623,0.34947,3.6286,0.02792,0,0.000975773,0.000975773,0.000975773
14,1207.27,0.71433,0.5567,1.52489,0.01412,2.36539,0.37589,0.53847,0.36145,0.27144,0.37748,0.53472,0.34892,0.32424,0.68242,0.39693,3.26105,0.02223,0,0.000971608,0.000971608,0.000971608
15,1291.46,0.70682,0.424,1.48951,0.01446,2.3669,0.34107,0.56354,0.32172,0.24124,0.34107,0.56354,0.31648,0.28096,0.76698,0.35885,3.94134,0.02461,0,0.000967122,0.000967122,0.000967122
16,1375.63,0.71136,0.46603,1.48098,0.01436,2.30286,0.39047,0.54853,0.3567,0.27147,0.38708,0.5442,0.34654,0.30447,0.77115,0.39519,4.02821,0.02466,0,0.00096232,0.00096232,0.00096232
17,1460.23,0.68076,0.49694,1.48317,0.01331,2.34378,0.32482,0.52016,0.34461,0.26069,0.32858,0.50774,0.3358,0.29263,0.74422,0.33507,3.91972,0.02475,0,0.000957205,0.000957205,0.000957205
